exercise,w1,r1,w2,r2,volume,delta_weight,delta_reps,session_gap,session_date,next_weight,next_reps
Bicep Curl (Dumbbell),10.0,15,5.0,15,640.0,-5.0,0.0,4.945833333333334,2026-02-23T11:33:00+00:00,10.0,18.0
Bicep Curl (Dumbbell),7.5,8,2.5,15,562.5,-5.0,7.0,7.004166666666666,2026-02-28T10:15:00+00:00,10.0,10.0
Bicep Curl (Dumbbell),5.0,15,2.5,15,542.5,-2.5,0.0,2.0347222222222223,2026-03-07T10:21:00+00:00,10.0,15.0
Bicep Curl (Dumbbell),5.0,18,2.5,22,615.0,-2.5,4.0,2.1215277777777777,2026-03-09T11:11:00+00:00,7.5,25.0
Bicep Curl (Dumbbell),5.0,20,2.5,25,725.0,-2.5,5.0,4.909722222222222,2026-03-11T14:06:00+00:00,10.0,15.0
Bicep Curl (Dumbbell),7.5,12,5.0,17,665.0,-2.5,5.0,2.08125,2026-03-16T11:56:00+00:00,10.0,18.0
Bulgarian Split Squat,15.0,18,15.0,20,795.0,0.0,2.0,19.849305555555556,2025-05-24T12:34:00+00:00,15.0,15.0
Bulgarian Split Squat,15.0,15,15.0,10,375.0,0.0,-5.0,22.099305555555556,2025-06-13T08:57:00+00:00,15.0,15.0
Bulgarian Split Squat,15.0,15,15.0,13,420.0,0.0,-2.0,82.95902777777778,2025-07-05T11:20:00+00:00,15.0,10.0
Bulgarian Split Squat,15.0,13,15.0,10,150.0,0.0,-3.0,41.989583333333336,2025-09-26T10:21:00+00:00,15.0,15.0
Bulgarian Split Squat,15.0,20,20.0,10,725.0,5.0,-10.0,35.017361111111114,2025-11-07T10:06:00+00:00,15.0,22.0
Bulgarian Split Squat,20.0,15,5.0,12,975.0,-15.0,-3.0,13.995138888888889,2025-12-12T10:31:00+00:00,15.0,24.0
Bulgarian Split Squat,25.0,10,5.0,12,970.0,-20.0,2.0,14.011805555555556,2025-12-26T10:24:00+00:00,15.0,25.0
Bulgarian Split Squat,25.0,14,5.0,15,1140.0,-20.0,1.0,7.0993055555555555,2026-01-09T10:41:00+00:00,25.0,15.0
Bulgarian Split Squat,25.0,15,30.0,13,765.0,5.0,-2.0,13.904861111111112,2026-01-16T13:04:00+00:00,25.0,12.0
Bulgarian Split Squat,25.0,12,30.0,10,600.0,5.0,-2.0,28.0,2026-01-30T10:47:00+00:00,25.0,18.0
Bulgarian Split Squat,25.0,18,30.0,13,840.0,5.0,-5.0,13.998611111111112,2026-02-27T10:47:00+00:00,25.0,18.0
Bulgarian Split Squat,25.0,18,30.0,15,900.0,5.0,-3.0,7.976388888888889,2026-03-13T10:45:00+00:00,25.0,18.0
Butterfly (Pec Deck),45.0,16,30.0,6,2610.0,-15.0,-10.0,7.022222222222222,2025-05-20T10:27:00+00:00,45.0,17.0
Butterfly (Pec Deck),45.0,10,35.0,12,2565.0,-10.0,2.0,3.6166666666666667,2025-05-27T10:59:00+00:00,50.0,12.0
Butterfly (Pec Deck),45.0,8,35.0,8,2700.0,-10.0,0.0,3.354861111111111,2025-05-31T01:47:00+00:00,45.0,22.0
Butterfly (Pec Deck),40.0,8,35.0,6,2870.0,-5.0,-2.0,4.148611111111111,2025-06-03T10:18:00+00:00,40.0,20.0
Butterfly (Pec Deck),35.0,8,30.0,8,3090.0,-5.0,0.0,2.7909722222222224,2025-06-07T13:52:00+00:00,40.0,20.0
Butterfly (Pec Deck),40.0,12,35.0,13,2320.0,-5.0,1.0,4.8590277777777775,2025-06-10T08:51:00+00:00,45.0,17.0
Butterfly (Pec Deck),40.0,10,35.0,9,3095.0,-5.0,-1.0,9.15625,2025-06-15T05:28:00+00:00,45.0,19.0
Butterfly (Pec Deck),50.0,10,40.0,8,2175.0,-10.0,-2.0,7.017361111111111,2025-06-24T09:13:00+00:00,45.0,20.0
Butterfly (Pec Deck),40.0,8,30.0,8,3010.0,-10.0,0.0,7.047916666666667,2025-07-01T09:38:00+00:00,45.0,20.0
Butterfly (Pec Deck),50.0,12,50.0,20,2500.0,0.0,8.0,7.096527777777778,2025-07-08T10:47:00+00:00,45.0,18.0
Butterfly (Pec Deck),40.0,6,35.0,6,2860.0,-5.0,0.0,3.8625,2025-07-15T13:06:00+00:00,40.0,20.0
Butterfly (Pec Deck),35.0,12,30.0,14,3125.0,-5.0,2.0,7.028472222222222,2025-07-19T09:48:00+00:00,45.0,20.0
Butterfly (Pec Deck),50.0,17,40.0,12,3080.0,-10.0,-5.0,3.0965277777777778,2025-07-26T10:29:00+00:00,45.0,22.0
Butterfly (Pec Deck),50.0,18,40.0,13,3260.0,-10.0,-5.0,3.901388888888889,2025-07-29T12:48:00+00:00,45.0,22.0
Butterfly (Pec Deck),40.0,9,30.0,12,3510.0,-10.0,3.0,3.097916666666667,2025-08-02T10:26:00+00:00,50.0,20.0
Butterfly (Pec Deck),45.0,12,40.0,7,2590.0,-5.0,-5.0,3.9125,2025-08-05T12:47:00+00:00,40.0,22.0
Butterfly (Pec Deck),50.0,7,35.0,13,2815.0,-15.0,6.0,3.0881944444444445,2025-08-09T10:41:00+00:00,50.0,18.0
Butterfly (Pec Deck),35.0,12,30.0,10,3245.0,-5.0,-2.0,6.915277777777778,2025-08-12T12:48:00+00:00,35.0,25.0
Butterfly (Pec Deck),40.0,15,30.0,12,3045.0,-10.0,-3.0,3.959722222222222,2025-08-19T10:46:00+00:00,45.0,20.0
Butterfly (Pec Deck),45.0,15,35.0,10,2925.0,-10.0,-5.0,2.845833333333333,2025-08-23T09:48:00+00:00,35.0,16.0
Butterfly (Pec Deck),35.0,10,45.0,15,2385.0,10.0,5.0,7.279166666666667,2025-08-26T06:06:00+00:00,45.0,20.0
Butterfly (Pec Deck),45.0,15,35.0,11,2760.0,-10.0,-4.0,6.977083333333334,2025-09-02T12:48:00+00:00,45.0,22.0
Butterfly (Pec Deck),40.0,5,30.0,10,3105.0,-10.0,5.0,9.059722222222222,2025-09-09T12:15:00+00:00,45.0,17.0
Butterfly (Pec Deck),40.0,17,35.0,13,2550.0,-5.0,-4.0,4.973611111111111,2025-09-18T13:41:00+00:00,45.0,22.0
Butterfly (Pec Deck),40.0,14,30.0,15,3450.0,-10.0,1.0,3.9055555555555554,2025-09-23T13:03:00+00:00,45.0,20.0
Butterfly (Pec Deck),45.0,15,40.0,16,2215.0,-5.0,1.0,10.151388888888889,2025-09-27T10:47:00+00:00,45.0,20.0
Butterfly (Pec Deck),55.0,11,45.0,10,2905.0,-10.0,-1.0,6.847916666666666,2025-10-07T14:25:00+00:00,45.0,19.0
Butterfly (Pec Deck),50.0,13,40.0,8,2605.0,-10.0,-5.0,15.08611111111111,2025-10-14T10:46:00+00:00,45.0,20.0
Butterfly (Pec Deck),50.0,10,40.0,7,2680.0,-10.0,-3.0,9.893055555555556,2025-10-29T12:50:00+00:00,45.0,18.0
Butterfly (Pec Deck),50.0,11,35.0,12,2635.0,-15.0,1.0,17.022916666666667,2025-11-08T10:16:00+00:00,45.0,16.0
Butterfly (Pec Deck),45.0,15,40.0,8,2855.0,-5.0,-7.0,3.9881944444444444,2025-11-25T10:49:00+00:00,45.0,23.0
Butterfly (Pec Deck),40.0,10,35.0,13,3890.0,-5.0,3.0,20.997916666666665,2025-11-29T10:32:00+00:00,45.0,13.0
Butterfly (Pec Deck),50.0,11,35.0,13,2230.0,-15.0,2.0,3.0340277777777778,2025-12-20T10:29:00+00:00,45.0,17.0
Butterfly (Pec Deck),50.0,14,35.0,13,2570.0,-15.0,-1.0,6.9625,2025-12-23T11:18:00+00:00,45.0,17.0
Butterfly (Pec Deck),35.0,12,30.0,15,2135.0,-5.0,3.0,4.006944444444445,2025-12-30T10:24:00+00:00,45.0,20.0
Butterfly (Pec Deck),50.0,13,35.0,13,2655.0,-15.0,0.0,3.0368055555555555,2026-01-03T10:34:00+00:00,45.0,20.0
Butterfly (Pec Deck),55.0,10,35.0,15,2725.0,-20.0,5.0,3.9833333333333334,2026-01-06T11:27:00+00:00,30.0,26.0
Butterfly (Pec Deck),45.0,18,35.0,15,2990.0,-10.0,-3.0,3.0597222222222222,2026-01-10T11:03:00+00:00,50.0,16.0
Butterfly (Pec Deck),45.0,13,35.0,12,2455.0,-10.0,-1.0,3.936111111111111,2026-01-13T12:29:00+00:00,50.0,20.0
Butterfly (Pec Deck),55.0,15,45.0,10,2935.0,-10.0,-5.0,2.96875,2026-01-17T10:57:00+00:00,50.0,17.0
Butterfly (Pec Deck),45.0,6,35.0,8,2060.0,-10.0,2.0,4.00625,2026-01-20T10:12:00+00:00,50.0,20.0
Butterfly (Pec Deck),50.0,12,40.0,12,3505.0,-10.0,0.0,3.0027777777777778,2026-01-24T10:21:00+00:00,50.0,21.0
Butterfly (Pec Deck),50.0,10,40.0,10,3550.0,-10.0,0.0,4.004861111111111,2026-01-27T10:25:00+00:00,30.0,22.0
Butterfly (Pec Deck),50.0,15,35.0,16,2850.0,-15.0,1.0,3.0131944444444443,2026-01-31T10:32:00+00:00,35.0,24.0
Butterfly (Pec Deck),50.0,15,30.0,15,2840.0,-20.0,0.0,3.935416666666667,2026-02-03T10:51:00+00:00,25.0,30.0
Butterfly (Pec Deck),35.0,25,30.0,15,2075.0,-5.0,-10.0,3.1305555555555555,2026-02-07T09:18:00+00:00,45.0,20.0
Butterfly (Pec Deck),55.0,15,45.0,12,3265.0,-10.0,-3.0,3.936111111111111,2026-02-10T12:26:00+00:00,45.0,15.0
Butterfly (Pec Deck),55.0,15,45.0,12,2790.0,-10.0,-3.0,2.9868055555555557,2026-02-14T10:54:00+00:00,45.0,17.0
Butterfly (Pec Deck),50.0,17,55.0,16,2495.0,5.0,-1.0,3.9923611111111112,2026-02-17T10:35:00+00:00,50.0,20.0
Butterfly (Pec Deck),55.0,16,45.0,7,2965.0,-10.0,-9.0,3.0243055555555554,2026-02-21T10:24:00+00:00,50.0,20.0
Butterfly (Pec Deck),55.0,16,40.0,8,2970.0,-15.0,-8.0,3.9694444444444446,2026-02-24T10:59:00+00:00,50.0,20.0
Butterfly (Pec Deck),40.0,16,30.0,12,2000.0,-10.0,-4.0,4.100694444444445,2026-02-28T10:15:00+00:00,50.0,16.0
Butterfly (Pec Deck),55.0,10,40.0,12,2830.0,-15.0,2.0,3.692361111111111,2026-03-04T12:40:00+00:00,45.0,18.0
Butterfly (Pec Deck),40.0,22,30.0,15,2940.0,-10.0,-7.0,2.2819444444444446,2026-03-08T05:17:00+00:00,50.0,18.0
Butterfly (Pec Deck),50.0,18,40.0,15,3390.0,-10.0,-3.0,3.9319444444444445,2026-03-10T12:03:00+00:00,45.0,20.0
Butterfly (Pec Deck),50.0,12,40.0,9,2860.0,-10.0,-3.0,3.0743055555555556,2026-03-14T10:25:00+00:00,40.0,22.0
Cable Crunch,30.0,20,20.0,20,1500.0,-10.0,0.0,44.08888888888889,2025-12-30T10:24:00+00:00,25.0,22.0
Cable Crunch,30.0,25,20.0,20,1700.0,-10.0,-5.0,2.675,2026-02-12T12:32:00+00:00,30.0,25.0
Cable Crunch,35.0,20,20.0,20,1850.0,-15.0,0.0,7.011111111111111,2026-02-15T04:44:00+00:00,35.0,25.0
Cable Crunch,40.0,12,25.0,20,1855.0,-15.0,8.0,4.011111111111111,2026-02-22T05:00:00+00:00,35.0,30.0
Cable Crunch,40.0,20,30.0,22,2510.0,-10.0,2.0,7.370138888888889,2026-02-26T05:16:00+00:00,40.0,20.0
Cable Crunch,45.0,17,35.0,20,2265.0,-10.0,3.0,2.6305555555555555,2026-03-05T14:09:00+00:00,40.0,25.0
Cable Crunch,45.0,20,35.0,20,2600.0,-10.0,0.0,2.2819444444444446,2026-03-08T05:17:00+00:00,40.0,23.0
Cable Crunch,45.0,20,35.0,20,3220.0,-10.0,0.0,4.745138888888889,2026-03-10T12:03:00+00:00,40.0,25.0
Cable Crunch,45.0,15,35.0,20,3065.0,-10.0,5.0,3.9381944444444446,2026-03-15T05:56:00+00:00,40.0,25.0
Cable Crunch,35.0,18,30.0,20,3040.0,-5.0,2.0,3.035416666666667,2026-03-19T04:27:00+00:00,45.0,20.0
Cable Fly Crossovers,15.0,10,10.0,20,1340.0,-5.0,10.0,3.015277777777778,2025-05-20T10:27:00+00:00,10.0,30.0
Cable Fly Crossovers,20.0,15,10.0,15,1095.0,-10.0,0.0,4.006944444444445,2025-05-23T10:49:00+00:00,15.0,22.0
Cable Fly Crossovers,15.0,10,10.0,12,1170.0,-5.0,2.0,3.6166666666666667,2025-05-27T10:59:00+00:00,15.0,26.0
Cable Fly Crossovers,15.0,8,10.0,17,1180.0,-5.0,9.0,3.354861111111111,2025-05-31T01:47:00+00:00,15.0,27.0
Cable Fly Crossovers,15.0,10,10.0,11,1365.0,-5.0,1.0,4.148611111111111,2025-06-03T10:18:00+00:00,20.0,17.0
Cable Fly Crossovers,10.0,13,5.0,20,1230.0,-5.0,7.0,2.7909722222222224,2025-06-07T13:52:00+00:00,15.0,22.0
Cable Fly Crossovers,10.0,12,5.0,12,1125.0,-5.0,0.0,14.015277777777778,2025-06-10T08:51:00+00:00,15.0,25.0
Cable Fly Crossovers,15.0,10,10.0,12,1165.0,-5.0,2.0,4.084722222222222,2025-06-24T09:13:00+00:00,15.0,28.0
Cable Fly Crossovers,20.0,13,15.0,12,1160.0,-5.0,-1.0,2.932638888888889,2025-06-28T11:15:00+00:00,15.0,26.0
Cable Fly Crossovers,20.0,14,15.0,11,1175.0,-5.0,-3.0,7.047916666666667,2025-07-01T09:38:00+00:00,15.0,23.0
Cable Fly Crossovers,20.0,20,15.0,12,1285.0,-5.0,-8.0,10.959027777777777,2025-07-08T10:47:00+00:00,15.0,26.0
Cable Fly Crossovers,15.0,12,10.0,15,1470.0,-5.0,3.0,7.028472222222222,2025-07-19T09:48:00+00:00,15.0,31.0
Cable Fly Crossovers,15.0,12,10.0,12,1725.0,-5.0,0.0,3.0965277777777778,2025-07-26T10:29:00+00:00,15.0,27.0
Cable Fly Crossovers,15.0,14,10.0,14,1575.0,-5.0,0.0,3.901388888888889,2025-07-29T12:48:00+00:00,15.0,32.0
Cable Fly Crossovers,20.0,13,15.0,12,1620.0,-5.0,-1.0,3.097916666666667,2025-08-02T10:26:00+00:00,15.0,29.0
Cable Fly Crossovers,15.0,12,10.0,16,1520.0,-5.0,4.0,3.9125,2025-08-05T12:47:00+00:00,15.0,30.0
Cable Fly Crossovers,25.0,13,15.0,17,1470.0,-10.0,4.0,3.0881944444444445,2025-08-09T10:41:00+00:00,15.0,31.0
Cable Fly Crossovers,15.0,12,10.0,12,1445.0,-5.0,0.0,6.915277777777778,2025-08-12T12:48:00+00:00,10.0,27.0
Cable Fly Crossovers,15.0,20,5.0,25,1125.0,-10.0,5.0,3.959722222222222,2025-08-19T10:46:00+00:00,15.0,25.0
Cable Fly Crossovers,20.0,15,10.0,16,1335.0,-10.0,1.0,2.845833333333333,2025-08-23T09:48:00+00:00,15.0,23.0
Cable Fly Crossovers,20.0,13,10.0,18,1295.0,-10.0,5.0,4.180555555555555,2025-08-26T06:06:00+00:00,15.0,25.0
Cable Fly Crossovers,20.0,15,10.0,16,1285.0,-10.0,1.0,3.098611111111111,2025-08-30T10:26:00+00:00,15.0,22.0
Cable Fly Crossovers,20.0,17,10.0,18,1225.0,-10.0,1.0,3.76875,2025-09-02T12:48:00+00:00,15.0,25.0
Cable Fly Crossovers,15.0,11,10.0,10,1320.0,-5.0,-1.0,3.2083333333333335,2025-09-06T07:15:00+00:00,15.0,26.0
Cable Fly Crossovers,15.0,12,10.0,15,1520.0,-5.0,3.0,3.9590277777777776,2025-09-09T12:15:00+00:00,20.0,17.0
Cable Fly Crossovers,15.0,11,10.0,12,1380.0,-5.0,1.0,6.973611111111111,2025-09-13T11:16:00+00:00,15.0,30.0
Cable Fly Crossovers,25.0,11,15.0,13,1300.0,-10.0,2.0,7.00625,2025-09-20T10:38:00+00:00,15.0,26.0
Cable Fly Crossovers,15.0,16,10.0,15,1480.0,-5.0,-1.0,3.0909722222222222,2025-09-27T10:47:00+00:00,15.0,25.0
Cable Fly Crossovers,20.0,15,15.0,23,1020.0,-5.0,8.0,3.942361111111111,2025-09-30T12:58:00+00:00,15.0,28.0
Cable Fly Crossovers,15.0,13,10.0,12,1435.0,-5.0,-1.0,9.965972222222222,2025-10-04T11:35:00+00:00,15.0,26.0
Cable Fly Crossovers,20.0,17,10.0,16,1230.0,-10.0,-1.0,3.9604166666666667,2025-10-14T10:46:00+00:00,15.0,28.0
Cable Fly Crossovers,20.0,20,10.0,18,1360.0,-10.0,-2.0,7.178472222222222,2025-10-18T09:49:00+00:00,15.0,22.0
Cable Fly Crossovers,20.0,18,10.0,16,1170.0,-10.0,-2.0,3.9472222222222224,2025-10-25T14:06:00+00:00,15.0,20.0
Cable Fly Crossovers,20.0,16,10.0,18,1120.0,-10.0,2.0,5.909722222222222,2025-10-29T12:50:00+00:00,15.0,20.0
Cable Fly Crossovers,10.0,23,5.0,23,1565.0,-5.0,0.0,3.9833333333333334,2025-11-04T10:40:00+00:00,15.0,25.0
Cable Fly Crossovers,15.0,14,10.0,22,1645.0,-5.0,8.0,3.0548611111111112,2025-11-08T10:16:00+00:00,15.0,27.0
Cable Fly Crossovers,15.0,18,10.0,20,1730.0,-5.0,2.0,6.982638888888889,2025-11-11T11:35:00+00:00,20.0,20.0
Cable Fly Crossovers,15.0,15,5.0,20,1600.0,-10.0,5.0,4.045138888888889,2025-11-18T11:10:00+00:00,20.0,23.0
Cable Fly Crossovers,15.0,16,10.0,17,1720.0,-5.0,1.0,2.9402777777777778,2025-11-22T12:15:00+00:00,15.0,20.0
Cable Fly Crossovers,20.0,23,25.0,15,1135.0,5.0,-8.0,3.9881944444444444,2025-11-25T10:49:00+00:00,20.0,15.0
Cable Fly Crossovers,15.0,23,10.0,23,1275.0,-5.0,0.0,2.9965277777777777,2025-11-29T10:32:00+00:00,15.0,24.0
Cable Fly Crossovers,15.0,13,10.0,18,1435.0,-5.0,5.0,4.013888888888889,2025-12-02T10:27:00+00:00,15.0,26.0
Cable Fly Crossovers,15.0,12,10.0,12,1460.0,-5.0,0.0,3.002083333333333,2025-12-06T10:47:00+00:00,20.0,24.0
Cable Fly Crossovers,15.0,16,10.0,16,1630.0,-5.0,0.0,3.9993055555555554,2025-12-09T10:50:00+00:00,20.0,27.0
Cable Fly Crossovers,15.0,15,10.0,20,1665.0,-5.0,5.0,2.9770833333333333,2025-12-13T10:49:00+00:00,20.0,23.0
Cable Fly Crossovers,15.0,20,10.0,16,1870.0,-5.0,-4.0,4.009027777777778,2025-12-16T10:16:00+00:00,15.0,20.0
Cable Fly Crossovers,15.0,16,10.0,20,1715.0,-5.0,4.0,3.0340277777777778,2025-12-20T10:29:00+00:00,20.0,23.0
Cable Fly Crossovers,15.0,16,10.0,18,1655.0,-5.0,2.0,3.9631944444444445,2025-12-23T11:18:00+00:00,20.0,23.0
Cable Fly Crossovers,25.0,15,15.0,18,1750.0,-10.0,3.0,2.9993055555555554,2025-12-27T10:25:00+00:00,15.0,28.0
